drg,year,school,total,district,non_subsidized,free,district_code,school_code,reduced
A,2007-08,,30362.0,,26321.0,109.0,51470485,51584585,29.0
A,2008-09,,30470.0,,27006.0,126.0,51470485,51584585,70.0
A,2009-10,,30244.0,,27624.0,159.0,51470485,51584585,84.0
A,2010-11,,30319.0,,28984.0,195.0,51040485,51162985,86.0
A,2011-12,,30137.0,,29603.0,114.0,51040485,51162985,56.0
A,2012-13,,30020.0,,27331.0,243.0,51040485,51162985,80.0
A,2013-14,,29884.0,,28859.0,229.0,51040485,51162985,78.0
A,2014-15,,29639.0,,27320.0,296.0,53830507,53961107,124.0
A,2015-16,,29202.0,,27225.0,241.0,63290584,63424784,67.0
A,2016-17,,28774.0,,27260.0,241.0,61680573,61815673,53.0
B,2007-08,,100227.0,,91790.0,3044.0,143441748,143813548,1572.0
B,2008-09,,99653.0,,91010.0,3736.0,147511781,147909781,2036.0
B,2009-10,,99188.0,,90762.0,4706.0,147301781,147700681,2341.0
B,2010-11,,98243.0,,88565.0,5453.0,147301781,147700681,2075.0
B,2011-12,,96701.0,,87400.0,5942.0,148971792,149388292,2241.0
B,2012-13,,95237.0,,85213.0,6400.0,148621792,149047292,2303.0
B,2013-14,,93537.0,,83453.0,6155.0,149161803,149587403,2159.0
B,2014-15,,91866.0,,81741.0,6470.0,169012056,169487056,2030.0
B,2015-16,,90509.0,,80182.0,6554.0,165752002,166222402,1770.0
B,2016-17,,90005.0,,79153.0,6581.0,169482024,169944924,1897.0
C,2007-08,,39604.0,,37601.0,944.0,126501032,126766732,529.0
C,2008-09,,39648.0,,37299.0,1195.0,128571044,128846144,685.0
C,2009-10,,39536.0,,36862.0,1543.0,128571044,128846144,794.0
C,2010-11,,39252.0,,35914.0,1769.0,127651033,127917133,642.0
C,2011-12,,38335.0,,34963.0,2017.0,127651033,127917133,759.0
C,2012-13,,37514.0,,33926.0,2237.0,129731045,130003345,832.0
C,2013-14,,36301.0,,32560.0,2199.0,125491021,125744421,758.0
C,2014-15,,35091.0,,31287.0,2245.0,132561078,132800878,703.0
C,2015-16,,34237.0,,30527.0,1997.0,140901147,141142847,565.0
C,2016-17,,33571.0,,29871.0,2195.0,142101137,142342137,619.0
D,2007-08,,87475.0,,77347.0,5833.0,149821705,150233305,3151.0
D,2008-09,,86303.0,,75251.0,6387.0,146351683,146765683,3515.0
D,2009-10,,85146.0,,73235.0,7563.0,147311694,147734694,3570.0
D,2010-11,,83542.0,,71658.0,8259.0,149431705,149872005,2984.0
D,2011-12,,81809.0,,68521.0,9251.0,146871683,147303783,3286.0
D,2012-13,,80472.0,,65778.0,10749.0,145231672,145662772,3626.0
D,2013-14,,78708.0,,63832.0,11159.0,147971694,148403094,3415.0
D,2014-15,,77248.0,,61731.0,11734.0,167881892,168326192,3303.0
D,2015-16,,76368.0,,60899.0,11787.0,183812024,184264124,3132.0
D,2016-17,,75296.0,,59928.0,11712.0,193572123,194033523,3036.0
E,2007-08,,26159.0,,23309.0,1466.0,83280814,83454814,924.0
E,2008-09,,25674.0,,22741.0,1670.0,84010825,84190825,952.0
E,2009-10,,25091.0,,21779.0,1929.0,84990836,85180036,1053.0
E,2010-11,,24463.0,,21023.0,2223.0,81940813,82121513,894.0
E,2011-12,,23560.0,,19965.0,2419.0,80960802,81132502,787.0
E,2012-13,,22821.0,,19213.0,2345.0,84010825,84199625,796.0
E,2013-14,,22075.0,,18275.0,2457.0,83280814,83463614,767.0
E,2014-15,,21435.0,,17557.0,2429.0,87930859,88105559,719.0
E,2015-16,,21051.0,,17062.0,2569.0,89390861,89564161,730.0
E,2016-17,,20684.0,,16755.0,2503.0,88320850,88481450,730.0
F,2007-08,,30458.0,,24343.0,4111.0,66570716,66756016,1959.0
F,2008-09,,29970.0,,23128.0,4681.0,65950716,66145016,2091.0
F,2009-10,,29007.0,,21542.0,5282.0,65950716,66145016,2097.0
F,2010-11,,28413.0,,20642.0,5765.0,65950716,66145016,1938.0
F,2011-12,,27521.0,,19283.0,6174.0,64970694,65162094,2036.0
F,2012-13,,26821.0,,18463.0,6358.0,63730683,63921583,1931.0
F,2013-14,,25983.0,,17774.0,6228.0,64840694,65038694,1862.0
F,2014-15,,25454.0,,16952.0,6547.0,75590815,75785815,1752.0
F,2015-16,,25051.0,,16363.0,6867.0,78450859,78648859,1750.0
F,2016-17,,24659.0,,15971.0,6695.0,77340848,77527748,1775.0
G,2007-08,,69564.0,,47907.0,15282.0,133981628,134389928,6185.0
G,2008-09,,68608.0,,45467.0,16652.0,130531595,130920495,6377.0
G,2009-10,,68435.0,,43367.0,18681.0,134581650,134990650,6092.0
G,2010-11,,67460.0,,40227.0,21555.0,134741617,135174917,5541.0
G,2011-12,,65940.0,,38130.0,22052.0,134801617,135243517,5612.0
G,2012-13,,64628.0,,36112.0,22762.0,133101584,133530884,5611.0
G,2013-14,,63667.0,,34595.0,23479.0,135251606,135681806,5386.0
G,2014-15,,62536.0,,32677.0,24377.0,164532035,165011235,5096.0
G,2015-16,,61660.0,,32204.0,23962.0,205482244,205985744,4895.0
G,2016-17,,61512.0,,31894.0,23754.0,193702233,194213233,5136.0
H,2007-08,,66214.0,,38515.0,22042.0,103431298,103768798,5496.0
H,2008-09,,65821.0,,36058.0,23513.0,103451309,103797809,6179.0
H,2009-10,,65948.0,,34743.0,24596.0,103431298,103768798,6564.0
H,2010-11,,66181.0,,31078.0,28948.0,99641276,99980876,5942.0
H,2011-12,,66319.0,,30435.0,29770.0,99641276,99980876,5886.0
H,2012-13,,66365.0,,29562.0,30714.0,99641276,99983976,5917.0
H,2013-14,,66475.0,,28653.0,31734.0,101201287,101542387,5936.0
H,2014-15,,66600.0,,28303.0,32318.0,107971364,108305064,5767.0
H,2015-16,,66188.0,,27268.0,33164.0,119711496,120045596,5415.0
H,2016-17,,66298.0,,27182.0,33002.0,125691573,126024073,5687.0
I,2007-08,,98483.0,,17921.0,72429.0,158722090,159389890,5880.0
I,2008-09,,97051.0,,16653.0,72298.0,161582112,162263312,6979.0
I,2009-10,,96024.0,,12583.0,76043.0,165722189,166476889,6294.0
I,2010-11,,95847.0,,13834.0,70028.0,163752156,164475256,4886.0
I,2011-12,,95998.0,,15233.0,70319.0,161392123,162110023,4800.0
I,2012-13,,97733.0,,14523.0,66941.0,160952101,161655701,4771.0
I,2013-14,,98385.0,,17188.0,60803.0,164382167,165077367,4282.0
I,2014-15,,99307.0,,20248.0,72357.0,176102354,176880354,3310.0
I,2015-16,,98821.0,,20578.0,72177.0,213662706,214550206,2976.0
I,2016-17,,99005.0,,35010.0,59557.0,226802827,227759427,2322.0
